discharge 1300mAh 
00:00:08,1,1,1970|OFF|PWM: 0|Batt: 1.445|Load: 1.445|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.445
Discharging...
00:00:15,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 0.962|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.531|Bavg: 1.444
00:00:23,1,1,1970|DIS|PWM: 0|Batt: 1.445|Load: 0.986|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.463|Bavg: 1.444
00:00:31,1,1,1970|DIS|PWM: 0|Batt: 1.440|Load: 1.001|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.473|Bavg: 1.443
00:00:38,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 1.021|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.497|Bavg: 1.442
00:00:46,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 1.011|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.380|Bavg: 1.441
00:00:54,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 0.986|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.282|Bavg: 1.440
00:01:02,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 0.986|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.292|Bavg: 1.439
00:01:09,1,1,1970|DIS|PWM: 0|Batt: 1.431|Load: 0.981|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.326|Bavg: 1.437
00:01:17,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 0.991|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.331|Bavg: 1.437
00:01:25,1,1,1970|DIS|PWM: 0|Batt: 1.440|Load: 0.986|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.331|Bavg: 1.436
00:01:33,1,1,1970|DIS|PWM: 0|Batt: 1.431|Load: 0.996|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.355|Bavg: 1.435
00:01:40,1,1,1970|DIS|PWM: 0|Batt: 1.436|Load: 1.011|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.399|Bavg: 1.435
00:01:48,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.006|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.395|Bavg: 1.434
00:01:56,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.006|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.390|Bavg: 1.432
00:02:03,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.006|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.414|Bavg: 1.431
00:02:11,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.006|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.414|Bavg: 1.430
00:02:19,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.006|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.404|Bavg: 1.429
00:02:27,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.006|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.419|Bavg: 1.427
00:02:34,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.025|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.512|Bavg: 1.426
00:02:42,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.035|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.492|Bavg: 1.425
00:02:50,1,1,1970|DIS|PWM: 0|Batt: 1.426|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.487|Bavg: 1.425
00:02:57,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.035|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.497|Bavg: 1.425
00:03:05,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.035|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.531|Bavg: 1.425
00:03:13,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.040|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.531|Bavg: 1.424
00:03:21,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.040|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.517|Bavg: 1.423
00:03:28,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.035|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.526|Bavg: 1.423
00:03:36,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.492|Bavg: 1.422
00:03:44,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.025|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.502|Bavg: 1.420
00:03:51,1,1,1970|DIS|PWM: 0|Batt: 1.421|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.492|Bavg: 1.420
00:03:59,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.025|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.473|Bavg: 1.419
00:04:07,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.468|Bavg: 1.418
00:04:15,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.025|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.458|Bavg: 1.418
00:04:22,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.473|Bavg: 1.417
00:04:30,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.468|Bavg: 1.417
00:04:38,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.025|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.468|Bavg: 1.417
00:04:45,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 0.928|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.961|Bavg: 1.416
00:04:53,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.415
00:05:01,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.414
00:05:09,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.104|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.414
00:05:16,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.413
00:05:24,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.113|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.412
00:05:32,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.118|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.412
00:05:39,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 0.972|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.411
00:05:47,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.450|diff: -1.751|Iset: 2.000|Ichg: 0.249|Idis: 4.995|Bavg: 1.411
00:05:55,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.956|Bavg: 1.409
00:06:03,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.011|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.961|Bavg: 1.410
00:06:10,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.021|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.888|Bavg: 1.409
