charge 1300mAh 
PWM: 1
PWM: 2
PWM: 3
START
00:00:08,1,1,1970|CHG|PWM: 5|Batt: 1.328|Load: 1.387|diff: -1.551|Iset: 2.000|Ichg: 0.449|Idis: 1.968|Bavg: 1.328
00:00:16,1,1,1970|CHG|PWM: 13|Batt: 1.328|Load: 1.465|diff: -0.931|Iset: 2.000|Ichg: 1.069|Idis: 2.090|Bavg: 1.328
00:00:24,1,1,1970|CHG|PWM: 20|Batt: 1.333|Load: 1.650|diff: -0.125|Iset: 2.000|Ichg: 1.875|Idis: 2.256|Bavg: 1.329
00:00:31,1,1,1970|CHG|PWM: 21|Batt: 1.333|Load: 1.772|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.246|Bavg: 1.329
00:00:39,1,1,1970|CHG|PWM: 20|Batt: 1.328|Load: 1.558|diff: -0.018|Iset: 2.000|Ichg: 1.982|Idis: 2.241|Bavg: 1.329
00:00:47,1,1,1970|CHG|PWM: 20|Batt: 1.338|Load: 1.553|diff: -0.047|Iset: 2.000|Ichg: 1.953|Idis: 2.246|Bavg: 1.331
00:00:55,1,1,1970|CHG|PWM: 20|Batt: 1.343|Load: 1.562|diff: 0.041|Iset: 2.000|Ichg: 2.041|Idis: 2.261|Bavg: 1.332
00:01:03,1,1,1970|CHG|PWM: 20|Batt: 1.333|Load: 1.558|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.266|Bavg: 1.333
00:01:11,1,1,1970|CHG|PWM: 20|Batt: 1.333|Load: 1.567|diff: 0.085|Iset: 2.000|Ichg: 2.085|Idis: 2.271|Bavg: 1.334
00:01:19,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.719|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.280|Bavg: 1.335
00:01:27,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.714|diff: 0.007|Iset: 2.000|Ichg: 2.007|Idis: 2.275|Bavg: 1.335
00:01:35,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.719|diff: -0.013|Iset: 2.000|Ichg: 1.987|Idis: 2.280|Bavg: 1.336
00:01:43,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.562|diff: 0.041|Iset: 2.000|Ichg: 2.041|Idis: 2.266|Bavg: 1.338
00:01:51,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.724|diff: 0.017|Iset: 2.000|Ichg: 2.017|Idis: 2.285|Bavg: 1.338
00:01:59,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.665|diff: -0.022|Iset: 2.000|Ichg: 1.978|Idis: 2.275|Bavg: 1.338
00:02:07,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.782|diff: 0.051|Iset: 2.000|Ichg: 2.051|Idis: 2.261|Bavg: 1.339
00:02:15,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.567|diff: 0.070|Iset: 2.000|Ichg: 2.070|Idis: 2.271|Bavg: 1.340
00:02:23,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.777|diff: -0.008|Iset: 2.000|Ichg: 1.992|Idis: 2.256|Bavg: 1.341
00:02:31,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.577|diff: 0.051|Iset: 2.000|Ichg: 2.051|Idis: 2.275|Bavg: 1.342
00:02:39,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.572|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.275|Bavg: 1.343
00:02:47,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.670|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.285|Bavg: 1.343
00:02:55,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.675|diff: -0.047|Iset: 2.000|Ichg: 1.953|Idis: 2.280|Bavg: 1.345
00:03:03,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.577|diff: 0.061|Iset: 2.000|Ichg: 2.061|Idis: 2.271|Bavg: 1.345
00:03:11,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.777|diff: 0.031|Iset: 2.000|Ichg: 2.031|Idis: 2.261|Bavg: 1.345
00:03:19,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.680|diff: 0.007|Iset: 2.000|Ichg: 2.007|Idis: 2.300|Bavg: 1.345
00:03:27,1,1,1970|CHG|PWM: 18|Batt: 1.353|Load: 1.724|diff: -0.008|Iset: 2.000|Ichg: 1.992|Idis: 2.300|Bavg: 1.346
00:03:34,1,1,1970|CHG|PWM: 18|Batt: 1.353|Load: 1.777|diff: -0.018|Iset: 2.000|Ichg: 1.982|Idis: 2.261|Bavg: 1.348
00:03:42,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.772|diff: -0.052|Iset: 2.000|Ichg: 1.948|Idis: 2.256|Bavg: 1.347
00:03:50,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.787|diff: 0.017|Iset: 2.000|Ichg: 2.017|Idis: 2.261|Bavg: 1.347
00:03:58,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.577|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.280|Bavg: 1.347
00:04:06,1,1,1970|CHG|PWM: 20|Batt: 1.348|Load: 1.582|diff: 0.046|Iset: 2.000|Ichg: 2.046|Idis: 2.280|Bavg: 1.348
00:04:14,1,1,1970|CHG|PWM: 20|Batt: 1.357|Load: 1.738|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.310|Bavg: 1.349
00:04:22,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.797|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.285|Bavg: 1.350
00:04:30,1,1,1970|CHG|PWM: 20|Batt: 1.348|Load: 1.577|diff: 0.036|Iset: 2.000|Ichg: 2.036|Idis: 2.290|Bavg: 1.349
00:04:38,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.738|diff: -0.013|Iset: 2.000|Ichg: 1.987|Idis: 2.305|Bavg: 1.349
