00:00:06,1,1,1970|CHG|PWM: 4|Batt: 1.265|Load: 1.338|diff: -0.524|ISet: 1.100|I: 0.576
00:00:13,1,1,1970|CHG|PWM: 12|Batt: 1.265|Load: 1.450|diff: -0.860|ISet: 2.300|I: 1.440
00:00:20,1,1,1970|CHG|PWM: 15|Batt: 1.265|Load: 1.572|diff: -0.011|ISet: 1.700|I: 1.689
00:00:27,1,1,1970|CHG|PWM: 17|Batt: 1.265|Load: 1.509|diff: 0.004|ISet: 1.900|I: 1.904
00:00:33,1,1,1970|CHG|PWM: 18|Batt: 1.270|Load: 1.621|diff: -0.007|ISet: 1.950|I: 1.943
00:00:40,1,1,1970|CHG|PWM: 18|Batt: 1.274|Load: 1.616|diff: -0.140|ISet: 2.000|I: 1.860
00:00:47,1,1,1970|CHG|PWM: 18|Batt: 1.270|Load: 1.641|diff: 0.100|ISet: 2.000|I: 2.100
00:00:54,1,1,1970|CHG|PWM: 19|Batt: 1.270|Load: 1.660|diff: 0.192|ISet: 2.000|I: 2.192
00:01:01,1,1,1970|CHG|PWM: 19|Batt: 1.270|Load: 1.533|diff: 0.090|ISet: 2.000|I: 2.090
00:01:07,1,1,1970|CHG|PWM: 19|Batt: 1.274|Load: 1.641|diff: 0.046|ISet: 2.000|I: 2.046
00:01:14,1,1,1970|CHG|PWM: 18|Batt: 1.274|Load: 1.523|diff: 0.017|ISet: 2.000|I: 2.017
00:01:21,1,1,1970|CHG|PWM: 19|Batt: 1.274|Load: 1.631|diff: -0.047|ISet: 2.000|I: 1.953
00:01:28,1,1,1970|CHG|PWM: 19|Batt: 1.279|Load: 1.665|diff: 0.188|ISet: 2.000|I: 2.187
00:01:34,1,1,1970|CHG|PWM: 18|Batt: 1.279|Load: 1.626|diff: -0.135|ISet: 2.000|I: 1.865
00:01:41,1,1,1970|CHG|PWM: 19|Batt: 1.284|Load: 1.538|diff: 0.095|ISet: 2.000|I: 2.095
